Megan_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[9, 24, 11, 9, 15]	68	2
Samuel_B._Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 16, 15, 17, 7]	68	10
Graffiti_art	['20160601', '20160602', '20160603', '20160604', '20160605']	[17, 15, 16, 10, 9]	67	3
Griffith_(surname)	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 22, 10, 12, 10]	67	-3
Kefitzat_Haderech	['20160601', '20160602', '20160603', '20160604', '20160605']	[10, 13, 17, 15, 12]	67	21
Not_for_profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 8, 18, 7, 12]	67	7
Agnafit	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 10, 18, 14, 8]	66	14
Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[14, 24, 18, 4, 6]	66	-10
Joel_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[17, 8, 13, 13, 15]	66	16
KaBOOM!_(non-profit_organization)	['20160601', '20160602', '20160603', '20160604', '20160605']	[11, 22, 16, 4, 13]	66	0
Compensation_and_Benefits	['20160601', '20160602', '20160603', '20160604', '20160605']	[11, 16, 17, 13, 8]	65	11
Fringe_benefits	['20160601', '20160602', '20160603', '20160604', '20160605']	[12, 15, 15, 14, 9]	65	11
Misfit_stream	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 14, 14, 9, 10]	65	1
Hanafite	['20160601', '20160602', '20160603', '20160604', '20160605']	[12, 16, 13, 10, 13]	64	8
Raymond_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 14, 18, 8, 6]	64	0
Islamic_graffiti	['20160601', '20160602', '20160603', '20160604', '20160605']	[6, 15, 15, 8, 19]	63	21
Target_benefit_plan	['20160601', '20160602', '20160603', '20160604', '20160605']	[30, 11, 9, 9, 4]	63	-19
Willis_&_Geiger_Outfitters	['20160601', '20160602', '20160603', '20160604', '20160605']	[20, 12, 15, 6, 10]	63	-1
Ann_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[7, 11, 17, 16, 11]	62	26
Lafitte_Projects	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 8, 15, 6, 15]	62	10
Pedrafita_do_Cebreiro	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 8, 8, 12, 13]	62	4
G._Richard_Pfitzner_Stadium	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 7, 14, 16, 11]	61	21
Josie_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 10, 8, 10, 18]	61	11
Leslie_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 21, 10, 6, 11]	61	-7
2014_The_Profit_on_CNBC_500	['20160601', '20160602', '20160603', '20160604', '20160605']	[4, 13, 16, 10, 17]	60	26
Ecological_fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[9, 15, 12, 17, 7]	60	12
Griffith_(name)	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 9, 13, 16, 6]	60	10
Quickfit_apparatus	['20160601', '20160602', '20160603', '20160604', '20160605']	[11, 24, 17, 4, 4]	60	-10
Value,_Price_and_Profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 11, 6, 13, 14]	60	6
Canada_Child_Tax_Benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 7, 19, 6, 14]	59	19
Jade_Parfitt	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 9, 9, 10, 10]	59	-1
Outfit_of_the_day	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 9, 17, 7, 5]	59	-1
Shipfitter	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 17, 9, 4, 14]	59	-5
